------------ Tamaño: 24 -----------
Numero,Resultado,Tiempo,Memoria
769056877621,898241,0,0007889270782470703,13762560
495862958111,527557,0,0015208721160888672,13762560
510794126723,570853,0,00045990943908691406,13762560
694661436523,788903,0,0014278888702392578,13762560
614653017443,960637,0,002218484878540039,13762560
509525332571,761669,0,0012366771697998047,13762560
562534510493,926689,0,0015101432800292969,13762560
945098124379,1045739,0,0017948150634765625,13762560
468780678419,526459,0,0015218257904052734,13762560
576280503109,574507,0,0018646717071533203,13762560
333336366107,555221,0,0018906593322753906,13762560
821804926703,1016357,0,0010280609130859375,13762560
481306109161,749279,0,0018451213836669922,13762560
577460410369,559177,0,0012640953063964844,13762560
954331545521,1034249,0,0013775825500488281,13762560
644468843437,687311,0,0017459392547607422,13762560
473500861403,541631,0,003061056137084961,13762560
916624326713,1048027,0,0004949569702148438,13762560
519079273501,605173,0,0007374286651611328,13762560
569036186249,603791,0,0009551048278808594,13762560
512174988011,841741,0,0011742115020751953,13762560
588014014979,646339,0,0009851455688476562,13762560
687875720387,998561,0,001692056655883789,13762560
615004848811,980711,0,0006730556488037109,13762560
497914805021,908539,0,0011782646179199219,13762560
735037111759,807647,0,0006940364837646484,13762560
Media del tiempo: 0,0013190507888793945
Media de la memoria: 13,125
------------ Tamaño: 44 -----------
Numero,Resultado,Tiempo,Memoria
5804139852211,2375993,0,0010554790496826172,13762560
9041263457047,3620327,0,0011970996856689453,13762560
8748388055201,2750831,0,003126382827758789,13762560
10983491445917,2808361,0,0011239051818847656,13762560
7858881417311,2645827,0,0021791458129882812,13762560
7931306071957,2119399,0,004242658615112305,13762560
11464521728017,3024157,0,0016405582427978516,13762560
8472494825699,3558991,0,002944469451904297,13762560
10966679937779,3597389,0,0017993450164794922,13762560
8221957344721,2913541,0,004170417785644531,13762560
11962377985703,3026857,0,0014562606811523438,13762560
11848532062789,3113881,0,0012001991271972656,13762560
7172350852993,3008197,0,0005695819854736328,13762560
12244232136683,3416429,0,0019958019256591797,13762560
9613623232021,3740609,0,0024423599243164062,13762560
7557252758227,2325149,0,0025696754455566406,13762560
9366621844549,3802699,0,003530263900756836,13762560
13629339655879,3406961,0,002522706985473633,13762560
13233335650429,3536501,0,0007634162902832031,13762560
8022451899911,3737351,0,0019969940185546875,13762560
14323868473441,4038739,0,0011653900146484375,13762560
8602416558563,3857989,0,00035643577575683594,13762560
13508858208733,3386941,0,002054929733276367,13762560
10595658107081,2758949,0,0004999637603759766,13762560
8572129051601,2405093,0,0019893646240234375,13762560
6059833943939,2865209,0,0014989376068115234,13762560
12491767709257,3032441,0,003427743911743164,13762560
7913609274163,3347297,0,005195140838623047,13762560
8631736656533,3739987,0,002032756805419922,13762560
8839368353369,3129289,0,0012035369873046875,13762560
16407597051463,3985099,0,0032701492309570312,13762560
11272175985043,2763763,0,0035517215728759766,13762560
12853217376521,3455009,0,0012345314025878906,13762560
11367358982729,3752779,0,001283407211303711,13762560
8554062746711,3879149,0,004052877426147461,13762560
8359094811377,3681527,0,0047800540924072266,13762560
11986480037633,3252191,0,0032851696014404297,13762560
8491315994477,2650537,0,000812530517578125,13762560
7997320842013,2871721,0,0019986629486083984,13762560
9530493059977,2422561,0,0014574527740478516,13762560
11182855675837,3116341,0,0013608932495117188,13762560
6451792479931,2285891,0,002405405044555664,13762560
16095895082633,4067423,0,0012230873107910156,13762560
13896208533871,3545701,0,004000425338745117,13762560
7209656901247,2304893,0,0007750988006591797,13762560
12951038711461,3930497,0,005022287368774414,13762560
11349534030427,2767529,0,0015397071838378906,13762560
