------------ Tamaño: 32 -----------
Numero,Resultado,Tiempo,Memoria
15120439,"(4057, 3727)",4.291534423828125e-06,0
11850389,"(4013, 2953)",1.9788742065429688e-05,0
8840633,"(3373, 2621)",1.33514404296875e-05,0
11052229,"(3943, 2803)",2.384185791015625e-05,0
6861563,"(3109, 2207)",1.8596649169921875e-05,0
12802841,"(3659, 3499)",2.6226043701171875e-06,0
7722433,"(3203, 2411)",1.3828277587890625e-05,0
11760097,"(3539, 3323)",2.6226043701171875e-06,0
9029749,"(3461, 2609)",1.5497207641601562e-05,0
12744779,"(3581, 3559)",0.000125885009765625,0
4909561,"(2339, 2099)",3.337860107421875e-06,0
9676547,"(3257, 2971)",3.337860107421875e-06,0
8247073,"(2957, 2789)",2.6226043701171875e-06,0
11308931,"(3511, 3221)",3.5762786865234375e-06,0
8669809,"(4057, 2137)",6.4849853515625e-05,0
8876389,"(3301, 2689)",8.821487426757812e-06,0
11347361,"(3583, 3167)",4.76837158203125e-06,0
11050433,"(3463, 3191)",3.0994415283203125e-06,0
6110417,"(2693, 2269)",5.9604644775390625e-06,0
8237563,"(3331, 2473)",1.5020370483398438e-05,0
12529133,"(3697, 3389)",3.5762786865234375e-06,0
11364589,"(3691, 3079)",8.106231689453125e-06,0
8353831,"(3137, 2663)",6.198883056640625e-06,0
8473081,"(3361, 2521)",4.649162292480469e-05,0
13392157,"(4057, 3301)",1.3828277587890625e-05,0
8076883,"(2851, 2833)",2.384185791015625e-06,0
8929663,"(3517, 2539)",1.9073486328125e-05,0
6581101,"(2903, 2267)",1.0728836059570312e-05,0
11213171,"(4079, 2749)",2.956390380859375e-05,0
9170243,"(3331, 2753)",8.106231689453125e-06,0
8606167,"(3319, 2593)",1.1920928955078125e-05,0
7119841,"(2791, 2551)",2.86102294921875e-06,0
11268371,"(3863, 2917)",1.5974044799804688e-05,0
9863977,"(3671, 2687)",1.9073486328125e-05,0
12850237,"(3943, 3259)",9.5367431640625e-06,0
8020279,"(3821, 2099)",5.4836273193359375e-05,0
8957209,"(3539, 2531)",1.9550323486328125e-05,0
6212329,"(2851, 2179)",1.1444091796875e-05,0
8864677,"(3761, 2357)",3.600120544433594e-05,0
11313101,"(3889, 2909)",1.6927719116210938e-05,0
9863681,"(3499, 2819)",1.0251998901367188e-05,0
11741657,"(3557, 3301)",3.0994415283203125e-06,0
8464399,"(3169, 2671)",6.67572021484375e-06,0
8668321,"(3917, 2213)",5.53131103515625e-05,0
7453913,"(2857, 2609)",3.0994415283203125e-06,0
12265663,"(3709, 3307)",4.76837158203125e-06,0
9054373,"(3881, 2333)",4.363059997558594e-05,0
14435581,"(4079, 3539)",6.198883056640625e-06,0
6910061,"(2741, 2521)",3.0994415283203125e-06,0
8265967,"(3643, 2269)",3.8623809814453125e-05,0
9321859,"(3391, 2749)",1.049041748046875e-05,0
Media del tiempo: 0.01313793420791626
Media de la memoria: 0.0
------------ Tamaño: 40 -----------
Numero,Resultado,Tiempo,Memoria
2416294919,"(61463, 39313)",0.0005409717559814453,0
2967346199,"(55331, 53629)",5.9604644775390625e-06,0
2611897993,"(59333, 44021)",0.0002491474151611328,0
3462448331,"(61253, 56527)",2.3126602172851562e-05,0
2214426013,"(60631, 36523)",0.0006761550903320312,0
3051655093,"(55609, 54877)",2.86102294921875e-06,0
2734894691,"(60793, 44987)",0.0002713203430175781,0
1974317701,"(51349, 38449)",0.00020384788513183594,0
3695287987,"(63929, 57803)",3.528594970703125e-05,0
2281944857,"(61843, 36899)",0.0007009506225585938,0
1748055457,"(43661, 40037)",1.9073486328125e-05,0
3369771527,"(58909, 57203)",4.76837158203125e-06,0
2616349943,"(54049, 48407)",3.504753112792969e-05,0
2310176831,"(51517, 44843)",5.078315734863281e-05,0
1801839989,"(48991, 36779)",0.0001895427703857422,0
3682547831,"(60689, 60679)",2.384185791015625e-06,0
2038146037,"(51157, 39841)",0.000156402587890625,0
2771028853,"(57587, 48119)",9.369850158691406e-05,0
2944546741,"(63761, 46181)",0.0003113746643066406,0
1562325277,"(44839, 34843)",0.0001366138458251953,0
2675161793,"(60457, 44249)",0.000274658203125,0
2331791153,"(53441, 43633)",0.00010704994201660156,0
2690181323,"(64237, 41879)",0.0005190372467041016,0
2956575793,"(62827, 47059)",0.00024962425231933594,0
1675518899,"(45013, 37223)",8.058547973632812e-05,0
1627329953,"(42101, 38653)",1.7642974853515625e-05,0
2696211643,"(57529, 46867)",0.00011920928955078125,0
2613324041,"(59951, 43591)",0.00028395652770996094,0
3585233711,"(60497, 59263)",3.5762786865234375e-06,0
1747094887,"(43291, 40357)",1.33514404296875e-05,0
1643240149,"(44987, 36527)",0.00010037422180175781,0
3168029233,"(56731, 55843)",2.384185791015625e-06,0
3388171601,"(63823, 53087)",0.00010585784912109375,0
2283746771,"(61363, 37217)",0.0006542205810546875,0
2364205799,"(61483, 38453)",0.0005843639373779297,0
3142946321,"(59197, 53093)",3.7670135498046875e-05,0
3301967129,"(58757, 56197)",8.58306884765625e-06,0
2218377211,"(56813, 39047)",0.0003612041473388672,0
3024571787,"(56417, 53611)",9.775161743164062e-06,0
3282005621,"(65167, 50363)",0.0002079010009765625,0
3417898921,"(64717, 52813)",0.00013065338134765625,0
2454730673,"(51769, 47417)",2.2649765014648438e-05,0
2107013539,"(49627, 42457)",6.270408630371094e-05,0
2841008759,"(63499, 44741)",0.0003581047058105469,0
1214701333,"(35027, 34679)",2.6226043701171875e-06,0
2908861057,"(65033, 44729)",0.0004131793975830078,0
3283749319,"(64333, 51043)",0.0001659393310546875,0
2437589383,"(58963, 41341)",0.00034117698669433594,0
2443228517,"(63907, 38231)",0.0007255077362060547,0
2849346223,"(56963, 50021)",4.982948303222656e-05,0
1506286591,"(40343, 37337)",1.4543533325195312e-05,0
2174372203,"(52721, 41243)",0.00015306472778320312,0
2660225137,"(64091, 41507)",0.0005359649658203125,0
3695297797,"(65089, 56773)",6.270408630371094e-05,0
3016300561,"(58511, 51551)",4.9114227294921875e-05,0
2241654439,"(49477, 45307)",2.1457672119140625e-05,0
2328238109,"(48809, 47701)",3.5762786865234375e-06,0
2028238783,"(50101, 40483)",0.00010991096496582031,0
1329123043,"(40093, 33151)",7.224082946777344e-05,0
1430079113,"(38723, 36931)",6.4373016357421875e-06,0
3039515077,"(64327, 47251)",0.00028586387634277344,0
1864174769,"(55207, 33767)",0.0005717277526855469,0
1290110243,"(36451, 35393)",3.5762786865234375e-06,0
1424090693,"(40433, 35221)",4.00543212890625e-05,0
2900595179,"(62921, 46099)",0.0002837181091308594,0
2130938987,"(63521, 33547)",0.0010380744934082031,0
1826787631,"(47713, 38287)",0.00011706352233886719,0
1925979943,"(51197, 37619)",0.00024199485778808594,0
2138701333,"(56897, 37589)",0.00046133995056152344,0
2153580139,"(63079, 34141)",0.0009696483612060547,0
3876504769,"(62683, 61843)",2.86102294921875e-06,0
4248040033,"(65213, 65141)",1.9073486328125e-06,0
1601856121,"(41801, 38321)",1.811981201171875e-05,0
1537044227,"(46051, 33377)",0.0002315044403076172,0
3017925577,"(63781, 47317)",0.0002949237823486328,0
2342291423,"(56453, 41491)",0.0002751350402832031,0
2991563761,"(61813, 48397)",0.0001919269561767578,0
3417709963,"(58771, 58153)",2.1457672119140625e-06,0
2104224121,"(62401, 33721)",0.0009629726409912109,0
3170902897,"(60397, 52501)",6.127357482910156e-05,0
4113504223,"(65357, 62939)",7.62939453125e-06,0
2143836103,"(63761, 33623)",0.0010433197021484375,0
2744689133,"(63533, 43201)",0.0004448890686035156,0
2550336077,"(53783, 47419)",7.128715515136719e-05,0
1218063089,"(35449, 34361)",4.0531158447265625e-06,0
2312308681,"(48751, 47431)",4.291534423828125e-06,0
2385262723,"(64601, 36923)",0.0008256435394287109,0
2076898073,"(45589, 45557)",2.1457672119140625e-06,0
2898562627,"(60509, 47903)",0.00015854835510253906,0
1962339149,"(58363, 33623)",0.00074005126953125,0
2628724277,"(62617, 41981)",0.0004467964172363281,0
3308720609,"(60289, 54881)",2.8848648071289062e-05,0
3514141811,"(63647, 55213)",6.532669067382812e-05,0
3347706361,"(60811, 55051)",3.361701965332031e-05,0
1861019351,"(52163, 35677)",0.00035309791564941406,0
2959420153,"(54919, 53887)",3.337860107421875e-06,0
1922797523,"(48337, 39779)",9.083747863769531e-05,0
2347689767,"(54647, 42961)",0.00015306472778320312,0
2867006977,"(61417, 46681)",0.00022101402282714844,0
3224888027,"(64891, 49697)",0.00021886825561523438,0
Media del tiempo: 0.0002172422409057617
Media de la memoria: 0.0
------------ Tamaño: 44 -----------
Numero,Resultado,Tiempo,Memoria
362017749337,"(647509, 559093)",0.0007598400115966797,0
733970589283,"(903701, 812183)",0.0005521774291992188,0
767155779287,"(1009061, 760267)",0.003957033157348633,0
594502117397,"(961531, 618287)",0.008966684341430664,0
517770941557,"(766817, 675221)",0.0006542205810546875,0
999556838299,"(1002467, 997097)",3.814697265625e-06,0
328226726999,"(623563, 526373)",0.0009167194366455078,0
414583170949,"(733141, 565489)",0.002651691436767578,0
573300324539,"(1040531, 550969)",0.017437219619750977,0
571521341359,"(768979, 743221)",6.222724914550781e-05,0
407327274899,"(648911, 627709)",3.981590270996094e-05,0
899580715477,"(1007129, 893213)",0.00083160400390625,0
532209710293,"(894637, 594889)",0.00688481330871582,0
580163282327,"(1041083, 557269)",0.01709270477294922,0
644515309019,"(1031477, 624847)",0.011385440826416016,0
495668788421,"(734887, 674483)",0.0003306865692138672,0
632091088357,"(882029, 716633)",0.002041339874267578,0
593513093977,"(823993, 720289)",0.0008275508880615234,0
565080931091,"(901687, 626693)",0.0058748722076416016,0
