------------ Tamaño: 24 -----------
Numero,Resultado,Tiempo,Memoria
8669809,"(2137.0, 4057.0)",0.0001251697540283203,12320768
8876389,"(2689.0, 3301.0)",6.818771362304688e-05,12320768
11347361,"(3167.0, 3583.0)",6.532669067382812e-05,12320768
11050433,"(3191.0, 3463.0)",6.318092346191406e-05,12320768
6110417,"(2269.0, 2693.0)",6.604194641113281e-05,12320768
8237563,"(2473.0, 3331.0)",7.939338684082031e-05,12320768
12529133,"(3389.0, 3697.0)",8.0108642578125e-05,12320768
11364589,"(3079.0, 3691.0)",6.842613220214844e-05,12320768
8353831,"(2663.0, 3137.0)",0.00020503997802734375,12320768
8473081,"(2521.0, 3361.0)",7.82012939453125e-05,12320768
13392157,"(3301.0, 4057.0)",7.128715515136719e-05,12320768
8076883,"(2833.0, 2851.0)",9.012222290039062e-05,12320768
8929663,"(2539.0, 3517.0)",0.0001087188720703125,12320768
6581101,"(2267.0, 2903.0)",8.392333984375e-05,12320768
11213171,"(2749.0, 4079.0)",0.00010347366333007812,12320768
9170243,"(2753.0, 3331.0)",8.106231689453125e-05,12320768
8606167,"(2593.0, 3319.0)",8.463859558105469e-05,12320768
7119841,"(2551.0, 2791.0)",7.62939453125e-05,12320768
11268371,"(2917.0, 3863.0)",7.581710815429688e-05,12320768
9863977,"(2687.0, 3671.0)",8.273124694824219e-05,12320768
12850237,"(3259.0, 3943.0)",8.940696716308594e-05,12320768
8020279,"(2099.0, 3821.0)",0.00011444091796875,12320768
8957209,"(2531.0, 3539.0)",7.987022399902344e-05,12320768
6212329,"(2179.0, 2851.0)",7.510185241699219e-05,12320768
8864677,"(2357.0, 3761.0)",9.703636169433594e-05,12320768
11313101,"(2909.0, 3889.0)",7.843971252441406e-05,12320768
9863681,"(2819.0, 3499.0)",7.033348083496094e-05,12320768
11741657,"(3301.0, 3557.0)",6.365776062011719e-05,12320768
8464399,"(2671.0, 3169.0)",8.821487426757812e-05,12320768
8668321,"(2213.0, 3917.0)",0.00012826919555664062,12320768
7453913,"(2609.0, 2857.0)",7.843971252441406e-05,12320768
12265663,"(3307.0, 3709.0)",6.4849853515625e-05,12320768
9054373,"(2333.0, 3881.0)",0.00010204315185546875,12320768
14435581,"(3539.0, 4079.0)",6.628036499023438e-05,12320768
6910061,"(2521.0, 2741.0)",6.341934204101562e-05,12320768
8265967,"(2269.0, 3643.0)",9.608268737792969e-05,12320768
9321859,"(2749.0, 3391.0)",6.937980651855469e-05,12320768
Media del tiempo: 0.0014960525035858154
Media de la memoria: 11.75
------------ Tamaño: 32 -----------
Numero,Resultado,Tiempo,Memoria
2416294919,"(39313.0, 61463.0)",0.0009281635284423828,12320768
2967346199,"(53629.0, 55331.0)",0.00033545494079589844,12320768
2611897993,"(44021.0, 59333.0)",0.0006866455078125,12320768
3462448331,"(56527.0, 61253.0)",0.00019121170043945312,12320768
2214426013,"(36523.0, 60631.0)",0.0007808208465576172,12320768
3051655093,"(54877.0, 55609.0)",6.937980651855469e-05,12320768
2734894691,"(44987.0, 60793.0)",0.0003502368927001953,12320768
1974317701,"(38449.0, 51349.0)",0.0003809928894042969,12320768
3695287987,"(57803.0, 63929.0)",0.00018668174743652344,12320768
2281944857,"(36899.0, 61843.0)",0.0009074211120605469,12320768
1748055457,"(40037.0, 43661.0)",0.00011706352233886719,12320768
3369771527,"(57203.0, 58909.0)",9.298324584960938e-05,12320768
2616349943,"(48407.0, 54049.0)",0.0001308917999267578,12320768
2310176831,"(44843.0, 51517.0)",0.00012826919555664062,12320768
1801839989,"(36779.0, 48991.0)",0.0002956390380859375,12320768
3682547831,"(60679.0, 60689.0)",0.00013494491577148438,12320768
2038146037,"(39841.0, 51157.0)",0.0005662441253662109,12320768
2771028853,"(48119.0, 57587.0)",0.0004253387451171875,12320768
2944546741,"(46181.0, 63761.0)",0.0014107227325439453,12320768
1562325277,"(34843.0, 44839.0)",0.00040149688720703125,12320768
2675161793,"(44249.0, 60457.0)",0.0004925727844238281,12320768
2331791153,"(43633.0, 53441.0)",0.00020694732666015625,12320768
2690181323,"(41879.0, 64237.0)",0.0014231204986572266,12320768
2956575793,"(47059.0, 62827.0)",0.000701904296875,12320768
1675518899,"(37223.0, 45013.0)",0.00021600723266601562,12320768
1627329953,"(38653.0, 42101.0)",0.00025272369384765625,12320768
2696211643,"(46867.0, 57529.0)",0.0004582405090332031,12320768
2613324041,"(43591.0, 59951.0)",0.0007562637329101562,12320768
3585233711,"(59263.0, 60497.0)",0.00014352798461914062,12320768
1747094887,"(40357.0, 43291.0)",0.00019931793212890625,12320768
1643240149,"(36527.0, 44987.0)",0.0003390312194824219,12320768
