------------ Tamaño: 32 -----------
p,alpha,beta,resultado,tiempo,memoria
2703258601,87,2242235628,693162596,0.13417363166809082,22507520
2703258601,87,1305781680,776509102,0.13489580154418945,22507520
2703258601,87,2450667401,126301268,0.13187718391418457,22507520
2703258601,87,828520710,244514250,0.1323685646057129,22507520
2703258601,87,1420384835,1185245788,0.136824369430542,22507520
2703258601,87,746811621,785698333,0.13405609130859375,22507520
2703258601,87,2465806583,1104430874,0.13524508476257324,22507520
2703258601,87,1992809178,55536224,0.1307995319366455,22507520
2703258601,11,2700997237,289981258,0.12430429458618164,22507520
2703258601,11,2581010677,727760241,0.12586522102355957,22507520
2703258601,11,845998131,165982898,0.1235966682434082,22507520
2703258601,11,393359312,993759925,0.12909388542175293,22507520
2703258601,11,444846865,1166986246,0.12725114822387695,22507520
2703258601,11,355382235,1287612485,0.12940526008605957,22507520
2703258601,11,1100205427,477543442,0.1252727508544922,22507520
2703258601,11,1243539179,2370572483,0.13249874114990234,22507520
2703258601,11,124837376,2624512958,0.1344013214111328,22507520
2703258601,11,1759586519,559180520,0.12549877166748047,22507520
2703258601,11,1797315928,136399791,0.12384295463562012,22507520
2703258601,11,1660261469,1644517605,0.13006091117858887,22507520
2703258601,11,275121446,1403242988,0.12957024574279785,22507520
2703258601,11,908227114,711292627,0.12629222869873047,22507520
2703258601,11,67719384,1059261731,0.12749218940734863,22507520
2703258601,11,1284545571,287633440,0.12428855895996094,22507520
2703258601,11,145601188,134827576,0.12281322479248047,22507520
2703258601,11,1325264040,447472738,0.12529516220092773,22507520
2703258601,11,1978945742,2553360612,0.13358044624328613,22507520
2703258601,11,160195986,1773601293,0.13104677200317383,22507520
2703258601,11,2233208926,1389033906,0.12858843803405762,22507520
2703258601,11,1610383746,1356299824,0.12923455238342285,22507520
2703258601,11,825854106,2523818779,0.1349499225616455,22507520
2703258601,11,2308291365,2591106046,0.13404417037963867,22507520
2703258601,11,1475950512,2461682807,0.13302159309387207,22507520
2703258601,11,2461847262,2061597999,0.13182449340820312,22507520
2703258601,11,2428265924,1880225188,0.13091731071472168,22507520
2703258601,11,1081944536,49719869,0.1227729320526123,22507520
2703258601,11,2509633416,2517209447,0.13402605056762695,22507520
2703258601,11,1645217586,2457402219,0.13408374786376953,22507520
2703258601,11,677997206,1033300683,0.12760281562805176,22507520
2703258601,11,1905717891,2343508826,0.13274598121643066,22507520
2703258601,11,387659726,669495435,0.12588882446289062,22507520
2703258601,11,684285539,370056324,0.12431049346923828,22507520
2703258601,11,751526962,1702982632,0.13078761100769043,22507520
2703258601,11,458555593,2358131981,0.1328744888305664,22507520
2703258601,11,1556805708,2159547693,0.13338851928710938,22507520
2703258601,11,292147803,2313154824,0.13457798957824707,22507520
